,Name,URL,Category_en,Category_cn,Country,Language,Description,Is_Alive,Notes
26,Legal Information Institute (LII),https://www.law.cornell.edu,legal,法律,美国,英文,康奈尔大学法学院主办，提供美国法典、最高法院判例及国际法资源,yes,
27,香港法律资讯中心,https://www.hklii.hk,legal,法律,中国香港,英文,香港法律资讯中心，提供香港判例、条例及法律期刊,yes,
28,阿联酋司法部,https://www.moj.gov.ae,legal,法律,阿联酋,阿拉伯语,阿联酋司法部官网，下设E-Legal Portal提供法律法规检索,yes,
29,BAILII (British and Irish Legal Information Institute),http://www.bailii.org,legal,法律,英国,英文,英国及爱尔兰法律信息研究所，提供英国及爱尔兰的判例法、制定法、法律委员会报告及欧盟判例的免费检索服务,yes,
30,美国律师协会,https://www.americanbar.org,legal,法律,美国,英文,美国律师协会官网，提供法律职业标准、继续教育、行业报告及法律资源,yes,
31,日本弁護士連合会,https://www.nichibenren.or.jp,legal,法律,日本,日文,日本律师联合会官网，提供律师检索、法律咨询及司法制度改革信息,yes,
32,Columbia Law Review,https://columbialawreview.org,legal,法律,美国,英文,哥伦比亚法学院主办，关注美国法律及比较法研究,yes,
33,Modern Law Review,https://www.modernlawreview.co.uk,legal,法律,英国,英文,1937年创刊，由伦敦政治经济学院主办，被誉为英国最权威的同行评审法律期刊，被英国最高法院和上诉法院频繁引用,yes,
34,LawnB,https://www.lawnb.com,legal,法律,韩国,韩语,韩国最大的法律信息门户，收录判例、法规、评注、行政文件、统计、学术文章及法律新闻,yes,
35,北大法宝,https://www.pkulaw.com,legal,法律,中国,中文,中国领先的法律信息检索平台，收录法律法规、司法案例、法学期刊及英文译本,yes,
36,法国最高法院,https://www.courdecassation.fr,legal,法律,法国,法语,法国最高法院官网，发布刑事和民事案件的终审判决、年度报告及法律动态,yes,
37,国际刑事法院 (International Criminal Court - ICC),https://www.icc-cpi.int,legal,法律,国际,英文,"国际刑事法院官网，基于《罗马规约》建立的全球首个常设国际刑事司法机构，提供判例法数据库（收录自2004年以来的判决、决定和命令中的6,000余条法律裁决）、法律工具数据库、核心法律文本及法庭记录检索服务",yes,
38,瑞士联邦最高法院,https://www.bger.ch,legal,法律,瑞士,德文,瑞士联邦最高法院官网，瑞士最高司法机构，主要职能包括裁决宪法争议和审理联邦法律事项的上诉案件，官网提供1954年以来的官方判决汇编全文检索，判决以案件原始语言（德文、法文或意大利文）呈现,yes,
39, 国际法院 (International Court of Justice - ICJ),https://www.icj-cij.org,legal,法律,国际,法文,国际法院官网，联合国主要司法机关，1946年成立，位于荷兰海牙，负责解决国家间法律争端并就联合国机构提交的法律问题提供咨询意见，官网提供判决、咨询意见和命令全文检索，以及《判决、咨询意见和命令汇编》等官方出版物,yes,
40,印尼宪法法院官网 ,https://www.mkri.id,legal,法律,印度尼西亚,印度尼西亚语,印尼宪法法院官网，根据1998年改革后印尼宪法修正案于2003年成立，负责审查法律的合宪性、裁决总统/副总统选举争议、裁决政党解散及国会/地方议会权限争议，官网提供法院判决、新闻公告、宪法学期刊及法院历史与结构信息,yes,
,,,,,,,,,
1,中国政府网,https://www.gov.cn/,government,政府官方,中国,中文,中国中央政府门户网站，发布政务信息与政策,Yes,
2,中华人民共和国外交部,https://www.mfa.gov.cn,government,政府官方,中国,中文,中国外交部官网，发布外交动态与领事信息,Yes,
3,白宫官网,https://www.whitehouse.gov,government,政府官方,美国,英文,美国总统行政办公室官方网站,Yes,
4,美国国务院,https://www.state.gov,government,政府官方,美国,英文,美国外交事务主管部门官网,Yes,
5,英国政府官网,https://www.gov.uk,government,政府官方,英国,英文,英国中央政府统一官方门户网站,Yes,
6,日本首相官邸,https://www.kantei.go.jp,government,政府官方,日本,日文,日本内阁总理大臣官方网站,Yes,
7,韩国政府官网,https://www.korea.kr,government,政府官方,韩国,韩文,韩国中央政府综合门户网站,Yes,
8,印尼政府官网,https://indonesia.go.id/,government,政府官方,印度尼西亚,印尼语,印尼国家级政府官方门户,Yes,
9,伊朗政府官网,https://www.president.ir,government,政府官方,伊朗,波斯语,伊朗总统府官方网站,Yes,
10,沙特阿拉伯政府官网,https://www.spa.gov.sa/ar,government,政府官方,沙特阿拉伯,阿拉伯语,沙特官方政府网站,Yes,
11,德国联邦政府官网,https://www.bundesregierung.de,government,政府官方,德国,德文,德国联邦政府官方门户网站，发布联邦政务与政策信息,Yes,
12,澳大利亚政府官网,https://www.homeaffairs.gov.au/,government,政府官方,澳大利亚,英文,澳大利亚联邦政府统一官方门户，提供全国政务服务,Yes,
13,加拿大政府官网,https://www.canada.ca,government,政府官方,加拿大,英文/法文,加拿大联邦政府官方网站，发布国家政务与公共服务信息,Yes,
14,法国政府官网,https://www.gouvernement.fr,government,政府官方,法国,法文,法兰西共和国政府官方门户网站，发布政府动态与政策,Yes,
15,印度政府官网,https://www.india.gov.in,government,政府官方,印度,英文/印地语,印度联邦政府官方综合门户网站,Yes,
16,巴西政府官网,https://www.gov.br,government,政府官方,巴西,葡萄牙文,巴西联邦共和国中央政府官方网站,Yes,
17,意大利政府官网,https://www.governo.it,government,政府官方,意大利,意大利文,意大利共和国政府官方门户网站,Yes,
18,西班牙政府官网,https://www.lamoncloa.gob.es,government,政府官方,西班牙,西班牙文,西班牙首相府及政府官方网站,Yes,
19,南非政府官网,https://www.gov.za,government,政府官方,南非,英文/南非荷兰语,南非共和国中央政府官方门户网站,Yes,
20,新加坡政府官网,https://www.gov.sg,government,政府官方,新加坡,英文/中文,新加坡共和国政府官方综合服务门户,Yes,
21,联合国,https://www.un.org,intl_org,国际组织,国际,英文/中文,全球最大政府间国际组织，维护国际和平与安全,Yes,
22,世界银行,https://www.worldbank.org,intl_org,国际组织,国际,英文,提供发展贷款与援助的国际金融机构,Yes,
23,国际货币基金组织,https://www.imf.org,intl_org,国际组织,国际,英文,促进全球货币合作与金融稳定,Yes,
24,世界卫生组织,https://www.who.int,intl_org,国际组织,国际,英文,联合国负责全球公共卫生的专门机构,Yes,
25,联合国教科文组织,https://en.unesco.org,intl_org,国际组织,国际,英文,推动教育、科学、文化国际合作,Yes,
26,欧盟官方网站,https://europa.eu,intl_org,国际组织,欧洲,多语言,欧洲联盟官方门户网站,Yes,
27,东盟秘书处,https://asean.org,intl_org,国际组织,东南亚,英文,东南亚国家联盟官方网站,Yes,
28,阿拉伯国家联盟,https://www.leagueofarabstates.net/,intl_org,国际组织,阿拉伯国家,阿拉伯语/英文,阿拉伯国家合作国际组织,No,
29,国际红十字会,https://www.icrc.org,intl_org,国际组织,国际,多语言,人道救援国际非政府组织,Yes,
30,国际移民组织,https://www.iom.int,intl_org,国际组织,国际,英文,处理移民事务的国际组织,Yes,
31,世界贸易组织,https://www.wto.org,intl_org,国际组织,国际,英文/法文/西班牙文,规范国际贸易规则、解决贸易争端的全球性国际组织,Yes,
32,经济合作与发展组织,https://www.oecd.org,intl_org,国际组织,国际,英文/法文,推动全球经济合作、制定公共政策标准的国际组织,Yes,
33,联合国开发计划署,https://www.undp.org,intl_org,国际组织,国际,多语言,联合国致力于全球消除贫困与可持续发展的专门机构,Yes,
34,联合国难民署,https://www.unhcr.org,intl_org,国际组织,国际,多语言,联合国负责全球难民事务与人道主义援助的专门机构,Yes,
35,联合国儿童基金会,https://www.unicef.org,intl_org,国际组织,国际,多语言,致力于全球儿童权利、健康与教育的联合国专门机构,Yes,
36,世界粮食计划署,https://www.wfp.org,intl_org,国际组织,国际,多语言,联合国全球最大人道主义粮食援助组织,Yes,
37,国际劳工组织,https://www.ilo.org,intl_org,国际组织,国际,英文/法文/西班牙文,联合国负责全球劳工标准、就业与社会保护的专门机构,Yes,
38,国际原子能机构,https://www.iaea.org,intl_org,国际组织,国际,多语言,促进和平利用核能、防止核扩散的国际独立机构,Yes,
39,世界知识产权组织,https://www.wipo.int,intl_org,国际组织,国际,多语言,联合国负责全球知识产权保护与合作的专门机构,Yes,
40,国际标准化组织,https://www.iso.org,intl_org,国际组织,国际,英文/法文,制定全球各类标准、促进国际技术合作的非政府国际组织,Yes,
,,,,,,,,,
1,Google Scholar,https://scholar.google.com,academic,学术检索,Global,English,全球最广泛使用的免费学术搜索引擎，涵盖各学科论文与书籍。,Yes,
2,CNKI (中国知网),https://www.cnki.net,academic,学术检索,China,Chinese,中国最大的学术资源集成平台，包含期刊、博硕论文及年鉴。,Yes,清华大学发起
3,PubMed,https://pubmed.ncbi.nlm.nih.gov,academic,学术检索,USA,English,美国国家医学图书馆提供的生物医学和生命科学论文数据库。,Yes,
4,arXiv,https://arxiv.org,academic,学术检索,USA,English,康奈尔大学运营的物理、数学、计算机科学等领域的预印本库。,Yes,
5,J-STAGE,https://www.jstage.jst.go.jp,academic,学术检索,Japan,Japanese/English,日本科学技术振兴机构开发的日本最大电子期刊公共平台。,Yes,
6,RISS (学术情报服务),http://www.riss.kr,academic,学术检索,South Korea,Korean,韩国教育学术信息院运营的全国性论文检索与共享门户。,Yes,
7,JSTOR,https://www.jstor.org,academic,学术检索,USA,English,提供数千种学术期刊、书籍和初级资料的数字图书馆库。,Yes,
8,ScienceDirect,https://www.sciencedirect.com,academic,学术检索,Netherlands,English,爱思唯尔出品的全球顶尖全文数据库，涵盖科技、医学和社会科学。,Yes,
9,Web of Science,https://www.webofscience.com,academic,学术检索,USA,English,全球权威的引文索引数据库，涵盖自然科学、社会科学等。,Yes,Clarivate
10,万方数据,https://www.wanfangdata.com.cn,academic,学术检索,China,Chinese,中国领先的学术文献数据库，涵盖论文、专利、标准等资源。,Yes,
11,IEEE Xplore,https://ieeexplore.ieee.org,academic,学术检索,USA,English,全球电子电气工程、计算机科学领域最权威的文献数据库。,Yes,
12,Wiley Online Library,https://onlinelibrary.wiley.com,academic,学术检索,USA,English,覆盖生命、健康、理学、社会科学及人文科学的跨学科库。,Yes,
13,Taylor & Francis Online,https://www.tandfonline.com,academic,学术检索,UK,English,提供人文、社会科学及科学技术领域的学术期刊与参考书。,Yes,
14,Semantic Scholar,https://www.semanticscholar.org,academic,学术检索,USA,English,艾伦人工智能研究所开发的AI驱动学术搜索引擎，强调深度关联。,Yes,
15,BASE,https://www.base-search.net,academic,学术检索,Germany,English,比勒费尔德学术搜索，全球规模最大的学术开放获取资源引擎。,Yes,
16,DOAJ,https://doaj.org,academic,学术检索,Sweden,English,开放存取期刊目录，提供全球高质量、经同行评审的OA资源。,Yes,
17,SSRN,https://www.ssrn.com,academic,学术检索,USA,English,社会科学研究网络，提供法律、经济等领域的预印本和工作论文。,Yes,
18,维普网,http://www.cqvip.com,academic,学术检索,China,Chinese,中国最早建立的中文期刊数据库之一，偏重于应用技术与管理。,Yes,
19,Oxford Academic,https://academic.oup.com,academic,学术检索,UK,English,牛津大学出版社学术门户，提供权威期刊、图书及多学科研究资源。,Yes,顶级出版社
20,CiNii,https://ci.nii.ac.jp,academic,学术检索,Japan,Japanese/English,日本最大的学术论文索引数据库，收录日本各大学及研究机构的文献。,Yes,国家级平台
21,The National Archives (UK),https://www.nationalarchives.gov.uk,history,历史,UK,English,英国国家档案馆，保存自《末日审判书》以来千年的官方记录。,Yes,
22,NARA (美国国家档案馆),https://www.archives.gov,history,历史,USA,English,美国官方记录保存机构，含《独立宣言》等核心历史文献。,Yes,
23,History Today,https://www.historytoday.com,history,历史,UK,English,全球历史最悠久的历史杂志之一，提供深度学术分析与评论。,Yes,
24,World History Encyclopedia,https://www.worldhistory.org,history,历史,Global,English,非营利性世界历史百科全书，内容经学者审核，涵盖全球历史。,Yes,
25,BBC History,https://www.historyextra.com,history,历史,UK,English,BBC旗下的历史内容门户，提供文章、播客及学术探讨。,Yes,
26,Smithsonian Institution,https://www.si.edu,history,历史,USA,English,史密森尼学会，全球最大的博物馆和研究机构群，含美国史。,Yes,
27,ANRI (印尼国家档案馆),https://anri.go.id,history,历史,Indonesia,Indonesian,印度尼西亚国家档案馆，保存殖民时期及现代建国的关键档案。,Yes,
28,国立公文书馆 (Japan),https://www.archives.go.jp,history,历史,Japan,Japanese,日本国家档案馆，保存并向公众展示重要的官方行政记录。,Yes,
29,Qatar Digital Library,https://www.qdl.qa,history,历史,Qatar,Arabic/English,提供海湾地区历史、阿拉伯科学及大英图书馆波斯湾档案。,Yes,
30,Europeana,https://www.europeana.eu,history,历史,EU,Multiple,欧洲文化遗产门户，整合了欧洲数千家档案馆与博物馆的资源。,Yes,
31,Gallica,https://gallica.bnf.fr,history,历史,France,French,法国国家图书馆的数字库，包含数百万件手稿、地图与史料。,Yes,
32,Internet Archive,https://archive.org,history,历史,Global,English,非营利性数字图书馆，其Wayback Machine保存了互联网历史。,Yes,
33,Institute of Historical Research,https://www.history.ac.uk,history,历史,UK,English,伦敦大学旗下的历史研究机构，英国历史研究的学术中心。,Yes,
34,Institute for Political and International Studies,https://ipis.ir,history,历史,Iran,Persian/English,伊朗政治与国际问题研究所，含大量波斯历史与外交史料库。,Yes,
35,Ancient Origins,https://www.ancient-origins.net,history,历史,Global,English,专注于古代历史、考古学及人类起源研究的新闻与深度报道平台。,Yes,
36,国家数字图书馆 (古籍),http://www.nlc.cn/dsb_gj/gj_index.htm,history,历史,China,Chinese,中国国家图书馆古籍资源库，含敦煌遗书、善本等珍贵史料。,Yes,
37,National Library of Iran,https://www.nlai.ir,history,历史,Iran,Persian,伊朗国家图书馆，藏有大量伊斯兰与波斯帝国的稀有文献档案。,Yes,
38,HistoryNet,https://www.historynet.com,history,历史,USA,English,美国领先的历史传媒平台，涵盖世界史、军事史及各时期历史专题。,Yes,主流媒体
39,Historia.id,https://historia.id,history,历史,Indonesia,Indonesian,印度尼西亚知名在线历史杂志，以大众视角解读印尼与世界历史。,Yes,印尼代表性媒体
40,Encyclopaedia Iranica,https://www.iranicaonline.org,history,历史,Iran,English/Persian,研究伊朗文明最权威的学术百科，涵盖中东历史、文化与考古。,Yes,核心资源
,,,,,,,,,
1,路透社 (Reuters),https://www.reuters.com/,general,其他,英国,英文,全球最大通讯社之一，以客观中立的事实报道见长。,yes,消息源头，全球覆盖。
2,美联社 (AP),https://apnews.com/,general,其他,美国,英文,美国最大的非营利新闻合作组织，报道风格干练。,yes,事实核查的标杆。
3,韩联社 (Yonhap),https://www.yna.co.kr/,general,其他,南韩,韩语,韩国国家骨干通讯社，全天候报道半岛及全球动态，提供文化、K-pop、体育等广泛报道。,yes,韩流文化与社会动态核心源。
4,共同社 (Kyodo News),https://www.kyodo.co.jp/,general,其他,日本,日语,日本最大的独立非营利通讯社，是日本各大报纸和广播电视台的核心消息源。,yes,共同社在数字化转型中，目前许多即时新闻会通过其参与发起的47NEWS平台发布，这是观察日本地方社会动态最权威的窗口。
5,安塔拉 (Antara),https://www.antaranews.com/,general,其他,印尼,印尼文,印尼国家通讯社，东南亚地区的重要发声渠道。,yes,涵盖东南亚重要综合资讯，观察东盟社会动态的窗口。
6,伊通社 (IRNA),https://www.irna.ir/,general,其他,伊朗,波斯语,伊朗官方通讯社，提供中东地区的官方立场与社会视角。,yes,伊斯兰世界社会新闻主渠道。
7,Saudi Press Agency (SPA沙特通讯社),https://www.spa.gov.sa/,general,其他,沙特阿拉伯,阿拉伯语,沙特阿拉伯的主要新闻通讯社，提供中东综合资讯,yes,总部位于利雅德
8,马新社（Bernama）,https://www.bernama.com/bm/,general,其他,马来西亚,马来语,马来西亚的官方新闻机构，负责向国内外的报纸、广播电台及电视台分发即时新闻、图片及多媒体内容。,yes,马新社也涉及大量东南亚地区的社会民生、气候环境及多元文化报道。
9,法新社 (AFP),https://www.afp.com/,general,其他,法国,法语,世界三大通讯社之一，在非洲和中东影响力极强。,yes,擅长多语言和摄影报道。
